sample.id	duplicates_num	it_self_and_mate_num	mapped_num	mapped_pct	paried_in_seq_num	properly_paried_num	properly_paried_pct	read_1_num	read_2_num	singletons_num	singletons_pct	total_reads_num
00449131-1ccd-4684-8e78-fe8cc66d3eab	9900	1881616	1884474	99.6	1891020	1833912	96.9	945510	945510	2858	0.1	1891020
0193b459-f085-41e8-a209-2207b7740e35	7082	1505846	1507825	99.6	1513300	1460722	96.5	756650	756650	1979	0.1	1513300
04a3248b-8fa6-42f0-b1ab-4d4da08a3c7a	147289	14037992	14062591	99.3	14162154	13703186	96.7	7081077	7081077	24599	0.1	14162154
0cad3bfa-5a09-4a97-93ef-dca9755b1b09	80359	3629218	3647462	99.0	3681978	3440620	93.4	1840989	1840989	18244	0.5	3681978
1a57ccf4-d764-4e70-81c0-6fabf6e872c4	45598	5900288	5918025	99.2	5961106	5811482	97.4	2980553	2980553	17737	0.3	5961106
21f1c0f0-729b-49be-a785-d975a17282ae	183145	13839428	13885680	99.0	14023632	13515686	96.3	7011816	7011816	46252	0.3	14023632
227c0897-fcb0-4fdd-8668-1a1025d7e982	99275	9835372	9868922	99.1	9950064	9040802	90.8	4975032	4975032	33550	0.3	9950064
295f4ca8-ad52-47e6-9724-fec072950701	76715	3426624	3445448	99.0	3479788	3267460	93.9	1739894	1739894	18824	0.5	3479788
2cebe4a6-8ca3-446d-b2bd-94d4b090e1b3	29908	3838842	3853373	99.1	3887178	3696418	95.0	1943589	1943589	14531	0.3	3887178
2d1a7639-241b-4e1a-9aba-3214eef6999d	18043	2930306	2935807	99.5	2949050	2868530	97.2	1474525	1474525	5501	0.1	2949050
3c06edcd-2673-4892-aa31-9ddad2aed469	62887	5403928	5414267	99.0	5464778	5135314	93.9	2732389	2732389	10339	0.1	5464778
3c5a08cf-138a-4a43-9faf-9352204e2ca7	22701	3509736	3520808	99.1	3550426	3456500	97.3	1775213	1775213	11072	0.3	3550426
4207f3b3-4d56-439c-98df-46c0de70c332	52770	6573724	6582974	99.4	6617920	6461810	97.6	3308960	3308960	9250	0.1	6617920
46dc45e7-04b0-4b3b-80c3-6f253522a0e0	29666	3831644	3841645	99.1	3872598	3774708	97.4	1936299	1936299	10001	0.2	3872598
47036313-5389-4879-81ef-ea064234fffb	44960	4705524	4729423	98.6	4793880	4391298	91.5	2396940	2396940	23899	0.5	4793880
484bb501-bab0-47fc-b13e-fc852b0bfca1	30945	2722610	2725813	99.3	2742418	2602374	94.8	1371209	1371209	3203	0.1	2742418
48c80497-2c67-41a5-a864-c54580025613	15171	2482922	2487880	99.5	2499362	2430968	97.2	1249681	1249681	4958	0.2	2499362
4a751163-c589-4d54-8df7-3459d2bb0d5d	3401	774276	776790	98.6	787548	756520	96.0	393774	393774	2514	0.3	787548
4bda478c-c242-414d-8e8c-20d154e5c17d	32493	2143596	2146580	99.3	2160154	2009662	93.0	1080077	1080077	2984	0.1	2160154
546c86a7-de60-44c9-a67e-79d4dac4ae86	34327	2081392	2093968	99.0	2115032	1995422	94.3	1057516	1057516	12576	0.5	2115032
5b53b622-2794-48aa-9573-44b1d21087cc	30458	2614080	2617498	99.1	2639532	2515270	95.2	1319766	1319766	3418	0.1	2639532
5bf3f269-6ca1-405d-9cc5-8ce2ccb25cb2	49547	4050648	4057780	99.0	4094600	3782890	92.3	2047300	2047300	7132	0.1	4094600
5ee31bcd-8d06-4366-8e95-977b3b618956	57950	4582748	4587906	99.5	4607750	4457132	96.7	2303875	2303875	5158	0.1	4607750
6407bb43-05a3-4175-ad19-549ea94565c7	13344	2005942	2010321	99.3	2022642	1961104	96.9	1011321	1011321	4379	0.2	2022642
65682cd3-9b12-418a-8863-25495f8eb32e	173874	5060848	5082362	98.9	5138150	4930802	95.9	2569075	2569075	21514	0.4	5138150
68a60685-b9f8-4838-85eb-365bfed46f14	17714	2842404	2848358	99.4	2864354	2781460	97.1	1432177	1432177	5954	0.2	2864354
698fcc4d-24c9-428a-86ec-36ca3ec87a4a	146376	12967390	13007405	99.2	13106314	12747518	97.2	6553157	6553157	40015	0.3	13106314
7d0c46bc-5673-4d16-b3d0-98f9030c5b11	59761	4701094	4706787	99.4	4731244	4564960	96.4	2365622	2365622	5693	0.1	4731244
7e8b81aa-403f-4342-b5f5-617e017dcd38	8882	2154196	2158367	99.4	2169446	2095278	96.5	1084723	1084723	4171	0.1	2169446
85d4b6b1-6c09-4626-8d02-1d1cef241af2	30388	3856852	3868842	98.9	3910298	3759988	96.1	1955149	1955149	11990	0.3	3910298
87241fff-ff0a-4851-a0c5-663bd4fea9c6	12422	2048730	2051209	99.6	2058610	1992574	96.7	1029305	1029305	2479	0.1	2058610
896f7296-8d7d-4473-b11e-464a0a7b6b7e	23393	3489228	3495709	99.5	3510470	3410372	97.1	1755235	1755235	6481	0.1	3510470
9304fe4a-64ca-4a20-8c10-6e4a395c4244	32298	4102272	4114184	99.2	4144620	4036190	97.3	2072310	2072310	11912	0.2	4144620
93df0960-bb25-4291-a58f-914f9f59e489	127806	4515430	4532443	99.1	4570286	4319896	94.5	2285143	2285143	17013	0.3	4570286
9489ebdc-80a4-4d96-b25d-cecd975cfd5c	71523	8537238	8609398	98.6	8724238	8304298	95.1	4362119	4362119	72160	0.8	8724238
96b0103c-40bb-4cc8-9139-465715c457a3	80074	8619704	8632578	99.4	8677184	8468780	97.5	4338592	4338592	12874	0.1	8677184
98c1ead3-e085-4bdb-8433-b17fb5dc3894	15889	2921258	2927619	99.5	2941564	2860110	97.2	1470782	1470782	6361	0.2	2941564
99b8c72f-8c81-483a-a9f5-9420e6503a0a	222883	16853478	16910645	99.1	17060388	16514376	96.8	8530194	8530194	57167	0.3	17060388
